Tweet,Sentimen
Wala ba mangsasama sa tour ng dpr jan? salohin niyo na ako we gang gang na to 😂,negatif
Hokeyyy. Di ako makakapag dpr we gang gang. Lemme cry 😭,negatif
"TINDAKAN DAN SARAN SALAH SEORANG RELAWAN PARTAI AMANAT NASIONAL (PAN) DALAM PENANGGULANGAN CEPAT KORBAN BENCANA GEMPA CIANJUR (Saran ditulis oleh : Darwin Purba, SKom, MM, DR(c) Bacaleg DPR RI PAN Jabar-06 Kota Bekasi dan Kota Depok)
https://t.co/OdsJO69irS",Positif
@ihatejyp @gothsforchan dpr ian,Positif
sino ba naman ako para makapag dpr we gang gang,negatif
Emang anggota DPR gak kuat beli pulsa terus telp...?,negatif
"Terkait beredarnya isu dana BUMN yang mengalir ke acara Nusantara Bersatu, anggota DPR RI Dedy Yevri Sitorus dari komisi IV mengungkapkan bahwa, tidak ada dana BUMN mengalir ke acara tersebut, dan disinyalir sebagai isapan jempol belaka.
@erickthohir
#BangkitBersamaET https://t.co/orh6HljRda",Positif
Naol dpr we gang gang 🥹🥹🥹,negatif
@RafliPadang @sabar_setiabudi @Mdy_Asmara1701 Eh orang goblok pilkada 2022 gak ada itu persetujuan dpr dan disahkan sebelum ada pilkada 2017.jadi jika ahok pun jadi gubernur maka dia juga akan digantikan pj,negatif
nyari calo tiket dpr susah skli fak,negatif
"Aku serkertaris, sekarang sibuk nya ngelebihin tuan dpr",negatif
"@jilly_billi @DPRIAN_ Ga nyangka anggota DPR selain menghimpun aspirasi rakyat, juga bakal duet nyanyi ma IU 😭",negatif
@detikcom P Basuki Nyindir Anggota DPR yg Rata2 hp.nya berharga diatas https://t.co/GRN03ZSfGH,negatif
@ronikosmoss dpr cream😭,negatif
@NarasiNewsroom Tidak termasuk anggota DPR gak nih ?,negatif
"@joko_maryadi Emang tugas dpr itu curhat???
Koyo bocil ae",negatif
"Yukz ke Nganjuk
#NganjukKotaAngin
TPPJatim
#TPPPamekasan
@jokowi
 @halimiskandarnu 
@KemenkeuRI 
@DPR_RI 
@RaffiAhmadLagi 
@kemendespdtt https://t.co/LC3KxeiOGM",negatif
"@erickthohir dan DPR pastikan tak ada dana BUMN mengalir ke acara Nusantara Bersatu.
#BangkitBersamaET https://t.co/ABkOH2WLlc",Positif
"Kapolsek Bangun Purba Akp Herwin menghadiri Giat Kunjungan Bapak dr. SOFYAN TAN Anggota DPR RI KOMISI X FRAKSI PDI PERJUANGAN dalam rangka ""PENYRERAHAN SK PROGRAM INDONESIA PINTAR (PIP)  KEPADA SISWA/i SEKOLAH SD, SMP dan SMA"" di Kecamatan Bangun Purba Kabupaten Deli Serdang
#po https://t.co/QlB13SNPGG",Positif
"Menurut anggota Deddy Yevri Sitorus anggota Komisi VI DPR RI memastikan bahwa tidak ada dana BUMN mengalir ke acara Nusantara Bersatu yang berawal dari tudingan 
kabar soal dana dari BUMN hal itu merupakan fitnah keji

@erickthohir
#BangkitBersamaET https://t.co/KI59x2IqyZ",Positif
dpr we gang gang sana kung nasa manila lang tayo,negatif
aomg namaaaan dpr namaaaan tnginanhojshsjejw,negatif
"@detiika28 @ainunrozi Anda sangat luar biasa kak, cocok jadi anggota DPR",negatif
@seouldonghyuns SEE U BEH OMG MAKIKITA NA TAYO NG DPR,negatif
UCAPAN SELAMAT ... KHUSUS DARI PAK ANDRE ROSIADE ANGGOTA DPR RI/KETUA HARIAN DPP IKM PUSAT UNTUK DPD IKM PURWAKARTA 😊🙏 https://t.co/9gQPWLWyFQ,Positif
